,user_name,user_location,user_description,user_verified,date,text,hashtags,source
0,Jana🕰,Berlin,Be kind it shakes the world/ I'm doing good I'm on some new shit/ Without love we are not truly living/ Measure your life in love/ she/ her/ sapphic/ 43,False,2022-11-24 11:36:02+00:00,Thanks to IKEA for paying for my shopping,[None],Twitter for iPad
1,Bogdan Muntiu,,,False,2022-11-24 11:35:56+00:00,@kajakallas @MarinSanna @vonderleyen @BuschEbba Sustainability at home or also abroad? Because Ikea is destroying primal forests in Transylvania.,[None],Twitter for iPhone
2,nther1te 2.0,,14 🇨🇳 x  🇦🇺 | comp | 3kpr | 2x semi finalist ccc,False,2022-11-24 11:35:42+00:00,"@WaveAUT @JannisZFN @VadealFN @Jur3ky MEATBALLS AND IKEA, LFG",[None],Twitter Web App
3,"Eat, Pray, Tweet",United States,"We post facts and news from all walks of life. So, eat, pray, and follow our tweets. Peace!",False,2022-11-24 11:34:48+00:00,IKEA Hilariously Mocks Balenciaga's $2000 Bag That Looks So Much Like Their Own 90 Cent Tote Bag https://t.co/Q1jGLWFyd0,[None],Twitter Web App
4,Analog x Digital 💽,,"🖤 Photography, sneakers, vinyl records.",False,2022-11-24 11:34:47+00:00,@yikesyiri @OverlookedGenX @alexa_harrison @sydmatisse @abbygov IKEA bags are also great for bringing dogs on the subway! 🐶 https://t.co/G5ni6b2PGy,[None],Twitter for iPhone
5,chun🍒,bedivere's pocket,"↳ they/them, 20↑, 🇵🇭🇩🇪, twst & fgo mainly, rt heavy  |  idia shroud and rollo flamme enthusiast.",False,2022-11-24 11:34:36+00:00,crying. screaming. more crying.,[None],Twitter Web App
6,huma,,19 || free agent coach/assistant coach || Coach for Viridis Arcus Valorant || Twitch: https://t.co/pksNuK0Jwr,False,2022-11-24 11:34:33+00:00,the day I decide to chill with my fam and take a trip to ikea they do this shit by the time we get there THE ENTIRE COUNTRY IS TRYING TO BUY MEATBALLS https://t.co/AhkzFrqk8s,[None],Twitter Web App
7,SAP News,Global,Official @SAP News channel | SAP is helping the best-run businesses make the world run better. #TheBestRun | SAP privacy statement for followers: https://t.co/b8mfeSXTsP,True,2022-11-24 11:33:29+00:00,"#CircularEconomy is not about phases; it’s a mindset that will change the world. 

Learn how initiatives at @IKEA are driving #sustainability forward: https://t.co/27TZvGt8cl https://t.co/IDBmtmvaT5",[['CircularEconomy']],Sprinklr
8,Dmdav,,Mum to not so average family. Out reach Teacher. MA Autism.Employment/autism & the arts. Late diagnosed SpLD so expect bad spellling.,False,2022-11-24 11:32:52+00:00,@miche2my @Edanouli Anyone want an ikea pax wardrobe corner unit still in the box 🤣,[None],Twitter for iPhone
9,Redhill Freegle,"Surrey, UK","A local community online reuse group.
Why tip it or skip it? Give it away with Freegle!",False,2022-11-24 11:30:41+00:00,"OFFER: Mirror doors ikea (Coulsdon, CR5) https://t.co/RanbmeOB2E https://t.co/voSEDTkl84",[None],Freegle
